System Name,Managed State,Tags,IP address,User Name,Last Communication
OCS-L-004182006,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.49.87,Prabin.Ghimire,3/11/20 3:33:06 PM EDT
OCS-L-004182007,Managed,"EEPC Apply, Escalated, Laptop, Workstation",172.31.13.57,Thaddeus.Ellerbe,3/11/20 4:37:03 PM EDT
OCS-L-004182008,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.41.4,Douglas.Wood,3/11/20 4:14:20 PM EDT
OCS-L-004182009,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.52.169,adam.jett,3/11/20 12:46:39 PM EDT
OCS-L-004182010,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.41.78,N/A,3/11/20 4:33:55 PM EDT
OCS-L-004182011,Managed,"EEPC Apply, Escalated, Laptop, Workstation",172.31.13.190,Teresa.Fleisher,3/11/20 4:28:39 PM EDT
OCS-L-004182012,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.41.88,Paul.Turner,3/11/20 4:05:21 PM EDT
OCS-L-004182013,Managed,"EEPC Apply, Escalated, Laptop, Workstation",172.31.13.133,Galena.Mishonova,3/11/20 5:04:09 PM EDT
OCS-L-004182014,Managed,"EEPC Apply, Escalated, Laptop, Workstation",172.31.13.112,Jason.Greenlaw,2/10/20 10:46:25 AM EST
OCS-L-004182015,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.41.19,N/A,3/11/20 5:07:11 PM EDT
OCS-L-004182016,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.52.192,charles.porter,3/11/20 4:19:03 PM EDT
OCS-L-004182017,Managed,"EEPC Apply, Escalated, Laptop, Workstation",172.31.13.51,Noel.Dyer,3/11/20 4:07:36 PM EDT
OCS-L-004182018,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.52.214,Jesse.Murphy,3/11/20 4:03:28 PM EDT
OCS-L-004182019,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.49.53,john.macek,3/11/20 1:41:02 PM EDT
OCS-L-004182020,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.52.145,LaTonya.Wilson,3/11/20 3:25:17 PM EDT
OCS-L-004182021,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.49.58,chris.libeau,3/11/20 3:08:10 PM EDT
OCS-L-004182022,Managed,"EEPC Apply, Escalated, Laptop, Workstation",172.31.13.216,tangdi.yang,3/11/20 5:05:46 PM EDT
OCS-L-004182023,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.42.183,Kathy.Carpenter,3/11/20 4:33:33 PM EDT
OCS-L-004182024,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.41.58,John.Lomnicky,3/11/20 2:06:55 PM EDT
OCS-L-004182025,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.42.220,Tam.Duong,3/11/20 4:45:42 PM EDT
OCS-L-004182026,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.42.168,Laura.Jeffery,3/11/20 3:58:46 PM EDT
OCS-L-004182027,Managed,"EEPC Apply, Escalated, Laptop, Workstation",172.31.13.174,travis.newman,3/11/20 4:48:16 PM EDT
OCS-L-004182028,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.49.17,don.lipscomb,3/11/20 1:39:32 PM EDT
OCS-L-004182029,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.42.163,Edward.Myers,3/11/20 4:33:55 PM EDT
OCS-L-004182030,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.49.36,chris.crognale,3/11/20 4:59:19 PM EDT
OCS-L-004182031,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.41.43,N/A,3/11/20 5:03:44 PM EDT
OCS-L-004182032,Managed,"EEPC Apply, Escalated, Laptop, Workstation",172.31.13.91,Colby.Harmon,3/11/20 4:48:04 PM EDT
OCS-L-004182033,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.42.203,Saeed.Moghimi,3/11/20 5:01:12 PM EDT
OCS-L-004182034,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.42.121,N/A,3/6/20 10:22:00 AM EST
OCS-L-004182035,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.41.28,Thanh.Pham,3/11/20 3:01:09 PM EDT
OCS-L-004182036,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.0.1.26,Edward.J.Vandenameel,2/28/20 5:59:33 PM EST
OCS-L-004182037,Managed,"EEPC Apply, Escalated, Laptop, Workstation",172.31.13.122,diane.melancon,3/11/20 4:26:55 PM EDT
OCS-L-004182038,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.49.8,Seth.Williams,3/11/20 2:04:03 PM EDT
OCS-L-004182039,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.49.59,Hugh.Rein,3/11/20 3:47:25 PM EDT
OCS-L-004187290,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.41.25,Alexis.Maxwell,3/11/20 4:15:25 PM EDT
OCS-L-004187291,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.49.45,mark.hetrick,3/11/20 4:33:34 PM EDT
OCS-L-004187293,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.41.66,thomas.loeper,3/11/20 3:13:21 PM EDT
OCS-L-004187294,Managed,"EEPC Apply, Escalated, Laptop, Workstation",172.31.13.95,Megan.Greenaway,3/11/20 5:10:45 PM EDT
OCS-L-004187295,Managed,"EEPC Apply, Escalated, Laptop, Workstation",172.31.35.6,Sergey.Vinogradov,3/4/20 4:14:16 PM EST
OCS-L-004187296,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.49.12,David.A.Strickler,3/11/20 4:33:48 PM EDT
OCS-L-004187297,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.52.187,Brittney.Gaeta,3/11/20 5:03:05 PM EDT
OCS-L-004187298,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.52.148,Guillaume.Auclert,3/11/20 4:33:39 PM EDT
OCS-L-004187299,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.52.182,N/A,3/11/20 4:33:28 PM EDT
OCS-L-004187300,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.49.74,Megan.Bartlett,3/11/20 5:03:59 PM EDT
OCS-L-004187301,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.41.33,Matthew.R.Forrest,3/11/20 3:03:54 PM EDT
OCS-L-004187302,Managed,"EEPC Apply, Escalated, Laptop, Workstation",172.31.35.48,Damian.Manda,3/11/20 5:08:57 PM EDT
OCS-L-004187303,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.52.139,Julio.Castillo,3/11/20 4:33:29 PM EDT
OCS-L-004187304,Managed,"EEPC Apply, Escalated, Laptop, Workstation",172.31.35.14,Evette.Coates,3/11/20 4:58:01 PM EDT
OCS-L-004187305,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.42.152,Christine.Burns,3/11/20 4:44:55 PM EDT
OCS-L-004187306,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.52.154,bill.ohno,3/11/20 4:33:16 PM EDT
OCS-L-004187307,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.49.33,William.Winner,3/11/20 4:33:48 PM EDT
